,unitid,uagrntt,uagrnta,upgrntt,upgrnta,ufloant,ufloana,agrnt_t,agrnt_a,pell/loans_total,pell/loans_average
159,107211,174510.5,7301.5,82251.5,3434.0,92259.0,5421.0,82251.5,3434.0,0.8915281977910015,0.6334624608005903
160,107220,970785.4285714285,3853.8571428571427,887926.5714285715,3796.5714285714284,1463206.857142857,6079.428571428572,728650.8571428572,3865.8571428571427,0.6068359829603236,0.6244947833442992
161,107293,277800.14285714284,4029.1428571428573,277800.14285714284,4029.1428571428573,397439.85714285716,6475.428571428572,124129.0,4191.0,0.6989740406365167,0.6222202612072009
164,107363,185870.0,3872.0,179185.0,3733.0,104963.0,4373.0,144646.0,4018.0,1.7071253679868144,0.8536473816601875
165,107442,293413.4285714286,5307.428571428572,235764.14285714287,4573.142857142857,165243.2857142857,7470.857142857143,89744.14285714286,5380.0,1.4267698795628612,0.6121309469175462
166,107460,6127888.142857143,4285.142857142857,3909242.4285714286,4141.571428571428,1365893.2857142857,5324.285714285715,1611931.4285714286,4840.0,2.8620408852270725,0.777864233968339
168,107512,28670589.714285713,19286.714285714286,1922244.7142857143,4526.428571428572,5677610.571428572,6353.142857142857,7650569.571428572,18157.714285714286,0.33856579103171014,0.7124707681237633
169,107521,2955658.0,2755.5714285714284,1618608.857142857,4031.714285714286,1282222.142857143,5427.285714285715,443785.28571428574,5227.857142857143,1.2623466738268552,0.7428601510884156
170,107549,4934678.142857143,4994.857142857143,2708661.5714285714,4173.0,1245953.4285714286,4742.428571428572,822982.4285714285,5132.428571428572,2.1739669471709213,0.8799289092387866
171,107558,15163829.142857144,20764.85714285714,1493705.5714285714,4908.714285714285,2219855.1428571427,6100.142857142857,3909940.285714286,19129.85714285714,0.6728842538374126,0.8046884147912227
172,107585,6108747.857142857,4071.0,4233978.571428572,4206.0,2161018.0,4804.571428571428,1688950.5714285714,4522.285714285715,1.9592518763974072,0.8754162702188393
173,107600,8924730.857142856,12121.57142857143,3164680.5714285714,4828.428571428572,4883754.857142857,7719.428571428572,2402029.4285714286,11055.0,0.6480015201418206,0.6254904137982086
175,107637,5266821.857142857,4603.142857142857,4045252.285714286,4722.142857142857,1749502.0,4360.571428571428,759515.8571428572,5330.714285714285,2.312230729495757,1.0829183593238108
176,107655,149354.42857142858,4465.857142857143,140767.42857142858,4337.285714285715,170599.85714285713,5003.428571428572,58727.28571428572,4817.142857142857,0.8251321597154244,0.8668627227044313
177,107664,20342883.714285713,4525.285714285715,16046355.57142857,4347.571428571428,18927040.714285713,5319.571428571428,3113091.5714285714,5219.142857142857,0.8478005523239106,0.8172785133066574
179,107743,2246270.714285714,5148.857142857143,1558598.7142857143,4464.0,111232.57142857143,5026.5,787827.2857142857,5680.142857142857,14.012071232989308,0.8880931065353626
180,107789,423687.71428571426,4515.571428571428,374024.71428571426,4482.142857142857,852821.0,8735.285714285714,155915.14285714287,4959.571428571428,0.4385735274878483,0.5131077567174187
181,107831,354364.71428571426,4754.0,331360.4285714286,4646.428571428572,584938.5714285715,8376.42857142857,119104.28571428571,5227.428571428572,0.5664875676810995,0.5547028225462608
182,107840,1611736.7142857143,5089.571428571428,1468337.4285714286,4761.285714285715,2079537.0,7589.285714285715,259201.14285714287,5163.428571428572,0.7060886286569696,0.627369411764706
183,107877,6237498.857142857,12648.0,1094643.0,4362.142857142857,1928988.5714285714,5758.285714285715,1933948.7142857143,11795.0,0.5674699250236246,0.7575419271608612
184,107974,4013854.5714285714,4351.714285714285,2903266.4285714286,3966.714285714286,1996996.5714285714,4819.285714285715,588195.2857142857,4850.571428571428,1.4538164311892374,0.8230917444790277
185,107983,26776720.14285714,9069.857142857143,7579502.142857143,4677.714285714285,12185057.57142857,5448.0,6927141.0,8769.285714285714,0.6220325261843244,0.8586112859240612
186,107992,3902950.1428571427,5189.285714285715,2047059.857142857,4907.285714285715,584162.8571428572,3674.8571428571427,1081429.2857142857,7394.714285714285,3.5042622654152216,1.335367749961126
187,108065,103592.42857142857,7290.714285714285,83972.42857142857,5944.857142857143,65518.28571428572,8449.833333333334,98163.85714285714,7056.0,1.2816640065586924,0.7035472663591561
188,108092,31616100.285714287,6348.285714285715,12683197.714285715,4434.857142857143,13215610.714285715,5720.571428571428,6132541.714285715,6833.714285714285,0.9597133260421725,0.775247228049146
189,108232,34731745.571428575,8950.142857142857,10713209.142857144,3688.4285714285716,27995957.714285713,7373.142857142857,2075785.857142857,9060.714285714286,0.3826698572769465,0.5002518794078896
190,108250,1442943.0,4031.0,1392809.0,3891.0,3060965.0,8363.0,218619.0,4462.0,0.45502284410308513,0.4652636613655387
191,108348,200502.0,5077.25,190627.0,4737.25,382594.0,9111.5,188377.0,4677.75,0.49824879637422437,0.5199198814684739
192,108649,567833.0,4422.0,462631.8,3868.6,500139.4,5127.8,155214.8,3806.8,0.9250057084084956,0.7544366004914388
193,108667,7423256.571428572,2191.4285714285716,4366391.714285715,4128.142857142857,271128.71428571426,7142.142857142857,807517.4285714285,5096.857142857143,16.10449754755385,0.577997799779978
194,108807,19004375.57142857,2759.4285714285716,9642837.857142856,3726.5714285714284,855746.0,6303.285714285715,3488288.0,4788.571428571428,11.268341139944395,0.5912109330734537
195,108852,2169107.0,9023.285714285714,398591.71428571426,4868.142857142857,1346673.0,9353.285714285714,1006855.5714285715,10409.857142857143,0.2959825542546069,0.5204740885555879
196,108977,580128.0,4793.142857142857,480315.4285714286,4442.285714285715,375627.5714285714,3996.8571428571427,133088.14285714287,5672.285714285715,1.2787012059437293,1.1114447065551507
197,109040,8339947.571428572,4591.571428571428,6352924.142857143,3982.285714285714,10809980.57142857,7620.142857142857,2266159.4285714286,4515.285714285715,0.5876906161744919,0.5225998762677865
